road,id,model_type,name,lat,lon,length
N1,1000920,link,link 711,21.4667216,92.1025,367.00000000001864
N1,1000921,link,link 712,21.4635833,92.1029167,968.9999999999941
N1,1000922,link,link 713,21.4564722,92.1038056,379.99999999999545
N1,1000923,link,link 714,21.4545,92.10075,421.9999999999686
N1,1000924,link,link 715,21.4512778,92.0994441,222.00000000003683
N1,1000925,link,link 716,21.4496108,92.0994997,57.00000000001637
N1,1000926,link,link 717,21.4494719,92.0995274,597.9999999999563
N1,1000927,link,link 718,21.443833,92.1014167,223.99999999998954
N1,1000928,bridge,bridge 210,21.4421663,92.1008611,56.00000000004002
N1,1000929,bridge,bridge 211,21.4417497,92.1006667,62.00000000001182
N1,1000930,link,link 719,21.4413608,92.1003611,466.99999999998454
N1,1000931,link,link 720,21.4375552,92.0984997,343.9999999999941
N1,1000932,link,link 721,21.434583,92.0973886,149.0000000000009
N1,1000933,link,link 722,21.4334441,92.0969997,284.99999999996817
N1,1000934,link,link 723,21.4310271,92.0961941,229.00000000004184
N1,1000935,link,link 724,21.4290271,92.0954997,79.00000000000773
N1,1000936,link,link 725,21.4284993,92.0951941,112.99999999999955
N1,1000937,link,link 726,21.4283604,92.0941663,283.9999999999918
N1,1000938,link,link 727,21.4281104,92.0914719,190.99999999997408
N1,1000939,bridge,bridge 212,21.427916,92.0896108,25.000000000034106
N1,1000940,bridge,bridge 213,21.4278882,92.0893886,560.9999999999786
N1,1000941,link,link 728,21.4271104,92.084083,206.99999999999363
N1,1000942,link,link 729,21.4269716,92.0821104,175.99999999998772
N1,1000943,link,link 730,21.4267771,92.0804716,384.00000000001455
N1,1000944,link,link 731,21.4264716,92.0767771,403.99999999999636
N1,1000945,link,link 732,21.4267216,92.0730827,261.0000000000241
N1,1000946,link,link 733,21.427416,92.0707216,738.9999999999759
N1,1000947,link,link 734,21.4276938,92.0643611,131.00000000002865
N1,1000948,link,link 735,21.4270827,92.0632778,262.9999999999768
N1,1000949,link,link 736,21.4273327,92.0608333,336.9999999999891
N1,1000950,link,link 737,21.4278882,92.0576667,237.99999999999955
N1,1000951,link,link 738,21.4280549,92.0554167,28.999999999996362
N1,1000952,link,link 739,21.4280827,92.0551389,232.00000000002774
N1,1000953,link,link 740,21.4280549,92.0529444,462.99999999996544
N1,1000954,bridge,bridge 214,21.4274993,92.0484441,18.000000000029104
N1,1000955,bridge,bridge 215,21.4275271,92.0483886,271.99999999999136
N1,1000956,link,link 741,21.4287771,92.0461941,233.99999999998045
N1,1000957,link,link 742,21.4295549,92.044083,500.0
N1,1000958,link,link 743,21.4298049,92.0392774,254.0000000000191
N1,1000959,link,link 744,21.4296938,92.0368608,223.99999999998954
N1,1000960,link,link 745,21.4289716,92.0348608,362.0000000000232
N1,1000961,bridge,bridge 216,21.4294438,92.0316104,140.9999999999627
N1,1000962,bridge,bridge 217,21.4300827,92.0304716,133.0000000000382
N1,1000963,link,link 746,21.430416,92.0293049,105.99999999999454
N1,1000964,link,link 747,21.430166,92.0283604,45.99999999999227
N1,1000965,link,link 748,21.4298882,92.0279716,612.9999999999995
N1,1000966,link,link 749,21.4262493,92.0235827,64.99999999999773
N1,1000967,link,link 750,21.4258604,92.023166,13.000000000033651
N1,1000968,link,link 751,21.4258049,92.0232493,581.9999999999936
