road,model_type,name,lat,lon,length,condition,start_km,end_km,id
N1,bridge,Marikhali Bridge(L),23.6284668507692,90.6023015723077,86.92,A,21.14054,21.22746,1000107
N1,link,Km post missing,23.6330549,90.5982774,270.1249999999966,,21.228875000000002,21.499,1000108
N1,link,Box culvert,23.6262771,90.6042222,130.00000000000256,,21.499,21.629,1000109
N1,link,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,135.99999999999923,,21.629,21.765,1000110
N1,link,Bridge start,23.6242216,90.6055278,227.99999999999798,,21.765,21.993,1000111
N1,link,Bridge end,23.6224993,90.6066944,259.00000000000034,,21.993,22.252,1000112
N1,link,Bridge start,23.6204716,90.6079722,73.25000000000159,,22.252,22.32525,1000113
N1,bridge,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5,B,22.32525,22.33075,1000114
N1,link,Bridge start,23.6204716,90.6079722,43.250000000000455,,22.33075,22.374,1000115
N1,link,Bridge end,23.6195271,90.6085833,109.59000000000074,,22.374,22.48359,1000116
N1,bridge,Ashariarchar Bridge(R),23.6176407964705,90.6095506105882,224.82,B,22.48359,22.70841,1000117
N1,bridge,ASHIR CHAR (Right),23.6176407964705,90.6095506105882,224.8,A,22.4836,22.7084,1000118
N1,bridge,Ashariarchar Bridge(L),23.6176407964705,90.6095506105882,214.09,B,22.488955,22.703045,1000119
N1,bridge,ASHIR CHAR ( Left),23.6176407964705,90.6095506105882,213.5,B,22.48925,22.70275,1000120
N1,link,Km post missing,23.6173604,90.6096944,312.5399999999985,,22.70841,23.02095,1000121
N1,bridge,ASHARIR CHAR (L),23.613587384385,90.6109029561497,120.1,A,23.02095,23.14105,1000122
N1,bridge,Ashariachar-2 Bridge.(L),23.613587384385,90.6109029561497,119.48,A,23.021259999999998,23.14074,1000123
N1,bridge,Asharirchar-2 Bridge.(R),23.613587384385,90.6109029561497,119.32,A,23.02134,23.14066,1000124
N1,bridge,ASHIR CHAR (R),23.613587384385,90.6109029561497,116.8,B,23.0226,23.1394,1000125
N1,link,Km post missing,23.6173604,90.6096944,422.95000000000016,,23.14105,23.564,1000126
N1,link,Meghna  bridge,23.6095556,90.6121944,65.00000000000128,,23.564,23.629,1000127
N1,link,Km post missing,23.609,90.6124722,301.5749999999997,,23.629,23.930575,1000128
N1,bridge,Meghna Bridge,23.6027595885583,90.6155316965675,924.85,A,23.930575,24.855425,1000129
N1,bridge,MEGHNA BRIDGE,23.6027595885583,90.6155316965675,900.0,C,23.943,24.843,1000130
N1,link,Km post missing,23.6009444,90.6165556,773.575000000001,,24.855425,25.629,1000131
N1,link,Km post missing,23.5959997,90.624666,9.99999999999801,,25.629,25.639,1000132
N1,link,Box culvert,23.5959441,90.6246938,473.1999999999985,,25.639,26.112199999999998,1000133
N1,bridge,TATULTALA CULVERT,23.5929818827893,90.6279699370919,5.6,A,26.112199999999998,26.1178,1000134
N1,link,Box culvert,23.5959441,90.6246938,195.19999999999982,,26.1178,26.313,1000135
N1,link,Box culvert,23.5917497,90.6293327,136.25000000000398,,26.313,26.449250000000003,1000136
N1,bridge,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,5.5,A,26.449250000000003,26.45475,1000137
N1,link,Box culvert,23.5917497,90.6293327,174.25000000000068,,26.45475,26.629,1000138
N1,link,Km post missing,23.5896108,90.6313882,488.1999999999991,,26.629,27.1172,1000139
N1,bridge,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,5.6,A,27.1172,27.1228,1000140
N1,link,Km post missing,23.5896108,90.6313882,380.19999999999857,,27.1228,27.503,1000141
