,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration
20203,Truck71583,1002114,C,10.9,6159,6177.843852843146,18.8438528431465
20204,Truck71569,1002338,C,1.2,6160,6176.485351194593,16.485351194593242
20205,Truck71595,1002114,C,10.9,6160,6216.614340377081,56.614340377081405
20206,Truck71604,1002114,C,10.9,6160,6185.895409394314,25.895409394313493
20207,Truck71613,1002032,D,61.3,6160,6236.995885128045,76.99588512804566
20208,Truck71729,1000935,C,27.0,6160,6219.045699410833,59.045699410832206
20209,Truck71564,1002338,C,1.2,6161,6177.679790646432,16.679790646431847
20210,Truck71577,1002277,D,7.9,6161,6174.29937761722,13.299377617219637
20211,Truck71623,1002032,D,61.3,6161,6225.452729614049,64.45272961404854
20212,Truck71553,1002590,C,37.6,6162,6177.012717869101,15.012717869100872
20213,Truck71585,1002114,C,10.9,6162,6208.2439449800095,46.24394498000949
20214,Truck71610,1002114,C,10.9,6162,6187.019934028075,25.019934028075113
20215,Truck71712,1001058,C,914.0,6162,6307.235504104525,145.2355041045244
20216,Truck71763,1000393,C,27.35,6162,6206.161639378333,44.161639378333
20217,Truck71552,1002689,C,37.3,6163,6189.173609391096,26.173609391095525
20218,Truck71573,1002277,D,7.9,6163,6177.356811373274,14.356811373273805
20219,Truck71778,1000267,C,4.5,6163,6175.017038137973,12.017038137972584
20220,Truck71557,1002296,C,13.0,6164,6212.277930303278,48.27793030327788
20221,Truck71622,1002032,D,61.3,6164,6234.046298984283,70.04629898428254
20222,Truck71672,1001468,C,56.2,6164,6216.159969391108,52.15996939110731
20223,Truck71551,1002689,C,37.3,6165,6194.835380781234,29.835380781233994
20224,Truck71567,1002277,D,7.9,6165,6182.557111220307,17.55711122030737
20225,Truck71616,1002032,D,61.3,6165,6228.344980624129,63.34498062412867
20226,Truck71543,1002689,C,37.3,6166,6189.674496509716,23.674496509715937
20227,Truck71570,1002296,C,13.0,6166,6186.534034206637,20.534034206637152
20228,Truck71576,1002338,C,1.2,6166,6184.045285542753,18.04528554275334
20229,Truck71609,1002088,C,8.5,6166,6181.577174867495,15.577174867494804
20230,Truck71764,1000393,C,27.35,6166,6182.957180963116,16.957180963115775
20231,Truck71550,1002586,D,2.7,6167,6183.69367441222,16.693674412220446
20232,Truck71572,1002586,D,2.7,6167,6178.508684399857,11.508684399857426
20233,Truck71579,1002277,D,7.9,6167,6178.53801220338,11.538012203380028
20234,Truck71618,1002032,D,61.3,6167,6215.7180618192715,48.71806181927161
20235,Truck71765,1000393,C,27.35,6168,6210.90447439877,42.90447439876929
20236,Truck71779,1000267,C,4.5,6168,6184.371134509692,16.37113450969204
20237,Truck71539,1002689,C,37.3,6169,6212.57373726167,43.5737372616708
20238,Truck71582,1002116,C,2.1,6169,6179.030960108378,10.030960108378547
20239,Truck71587,1002116,C,2.1,6169,6187.481881133229,18.481881133228594
20240,Truck71652,1001495,C,45.0,6169,6197.144006021282,28.144006021282053
20241,Truck71568,1002338,C,1.2,6170,6189.674228738076,19.67422873807569
20242,Truck71574,1002277,D,7.9,6170,6185.313487362166,15.313487362165414
20243,Truck71592,1002114,C,10.9,6170,6205.110566317319,35.11056631731972
20244,Truck71597,1002154,D,15.4,6170,6210.702273709693,40.70227370969337
20245,Truck71766,1000393,C,27.35,6170,6196.594269838991,26.594269838990613
20246,Truck71533,1002590,C,37.6,6171,6203.52294831033,32.52294831033075
20247,Truck71556,1002338,C,1.2,6172,6186.407667554912,14.40766755491202
20248,Truck71560,1002586,D,2.7,6172,6184.35808696269,12.358086962690038
20249,Truck71561,1002689,C,37.3,6172,6193.16327737154,21.163277371540033
20250,Truck71578,1002296,C,13.0,6173,6228.195151805539,55.195151805539645
20251,Truck71603,1002116,C,2.1,6173,6187.197279494705,14.197279494704663
20252,Truck71780,1000267,C,4.5,6173,6191.526309492261,18.526309492261404
20253,Truck71538,1002689,C,37.3,6174,6220.592011023878,46.59201102387799
20254,Truck71599,1002088,C,8.5,6174,6188.527410224523,14.527410224522779
20255,Truck71728,1000935,C,27.0,6174,6225.150397749472,51.15039774947262
20256,Truck71563,1002277,D,7.9,6175,6187.769825594523,12.769825594523692
20257,Truck71588,1002116,C,2.1,6175,6185.850462689488,10.850462689488108
20258,Truck71643,1001495,C,45.0,6175,6198.482042182391,23.482042182390547
20259,Truck71681,1001468,C,56.2,6175,6221.700722803354,46.70072280335456
20260,Truck71715,1001058,C,914.0,6175,6266.936410012495,91.93641001249448
20261,Truck71565,1002296,C,13.0,6176,6204.367218192066,28.367218192065693
20262,Truck71577,1002296,C,13.0,6176,6224.542885284104,48.54288528410453
20263,Truck71598,1002154,D,15.4,6176,6225.14370371203,49.14370371203067
20264,Truck71639,1001887,C,22.0,6176,6194.326025441174,18.326025441174643
20265,Truck71656,1001495,C,45.0,6176,6229.6539932658625,53.65399326586244
20266,Truck71665,1001468,C,56.2,6176,6247.993850142102,71.99385014210169
20267,Truck71562,1002586,D,2.7,6177,6190.62732265874,13.627322658740136
20268,Truck71593,1002154,D,15.4,6177,6225.035410186266,48.03541018626623
20269,Truck71602,1002114,C,10.9,6177,6211.091413399071,34.091413399071214
20270,Truck71624,1002032,D,61.3,6177,6245.2982983573875,68.29829835738747
20271,Truck71638,1001887,C,22.0,6177,6231.685596074963,54.68559607496247
20272,Truck71647,1001495,C,45.0,6177,6217.321780811258,40.321780811257284
20273,Truck71711,1001058,C,914.0,6177,6280.742863679321,103.74286367932106
20274,Truck71725,1000935,C,27.0,6177,6216.73211671707,39.73211671707054
20275,Truck71583,1002116,C,2.1,6178,6193.446860275321,15.44686027532126
20276,Truck71594,1002116,C,2.1,6178,6195.265838060961,17.265838060961087
20277,Truck71726,1000935,C,27.0,6178,6193.238285833006,15.23828583300523
20278,Truck71767,1000393,C,27.35,6178,6208.405796770064,30.405796770063734
20279,Truck71781,1000267,C,4.5,6178,6196.894961996955,18.894961996955285
20280,Truck71572,1002590,C,37.6,6179,6235.099884245285,56.099884245284315
20281,Truck71573,1002296,C,13.0,6179,6207.059730795066,28.059730795065754
20282,Truck71614,1002088,C,8.5,6179,6191.186619163896,12.18661916389513
20283,Truck71579,1002296,C,13.0,6180,6204.138015457581,24.138015457581073
20284,Truck71629,1001887,C,22.0,6180,6201.362583990555,21.36258399055518
20285,Truck71632,1001887,C,22.0,6180,6230.313412662353,50.31341266235296
20286,Truck71657,1001495,C,45.0,6180,6222.352874168051,42.352874168051486
20287,Truck71733,1000935,C,27.0,6180,6217.762646174184,37.762646174183374
20288,Truck71581,1002248,C,1.2,6181,6196.933992729859,15.933992729858964
20289,Truck71608,1002088,C,8.5,6181,6193.165434859652,12.16543485965228
20290,Truck71660,1001495,C,45.0,6181,6204.752848883227,23.75284888322668
20291,Truck71732,1000935,C,27.0,6181,6221.345004514762,40.34500451476234
20292,Truck71666,1001468,C,56.2,6182,6260.181968321029,78.18196832102895
20293,Truck71782,1000267,C,4.5,6183,6196.951398542887,13.951398542886643
20294,Truck71550,1002590,C,37.6,6184,6225.5086306644025,41.50863066440222
20295,Truck71553,1002689,C,37.3,6184,6227.407565611587,43.40756561158731
20296,Truck71567,1002296,C,13.0,6184,6235.424709647126,51.42470964712647
20297,Truck71582,1002154,D,15.4,6184,6218.003729934121,34.00372993412114
20298,Truck71661,1001468,C,56.2,6184,6249.510058233124,65.51005823312398
20299,Truck71560,1002590,C,37.6,6185,6215.507657434308,30.507657434308697
20300,Truck71575,1002248,C,1.2,6185,6201.683023908975,16.683023908974754
20301,Truck71651,1001495,C,45.0,6185,6212.265075358429,27.265075358429577
20302,Truck71768,1000393,C,27.35,6185,6210.138454501077,25.138454501076723
20303,Truck71566,1002338,C,1.2,6186,6198.696520343405,12.696520343404941
20304,Truck71604,1002116,C,2.1,6186,6202.967545871248,16.967545871248447
20305,Truck71719,1001058,C,914.0,6186,6301.58547903854,115.58547903854006
20306,Truck71731,1000935,C,27.0,6186,6210.862787561065,24.862787561064568
20307,Truck71574,1002296,C,13.0,6187,6222.275231533,35.27523153299961
20308,Truck71718,1001058,C,914.0,6187,6348.675051125937,161.67505112593727
20309,Truck71607,1002088,C,8.5,6188,6203.600229032227,15.600229032226641
20310,Truck71610,1002116,C,2.1,6188,6202.460322563204,14.460322563203576
20311,Truck71730,1000935,C,27.0,6188,6236.221283939322,48.22128393932216
20312,Truck71783,1000267,C,4.5,6188,6201.140105952558,13.140105952557754
20313,Truck71554,1002586,D,2.7,6189,6202.950295530933,13.950295530933
20314,Truck71563,1002296,C,13.0,6189,6247.458473160561,58.45847316056117
20315,Truck71584,1002248,C,1.2,6189,6202.283741649487,13.283741649486677
20316,Truck71609,1002114,C,10.9,6189,6211.250906477032,22.250906477031926
20317,Truck71653,1001495,C,45.0,6189,6217.998596690874,28.99859669087443
20318,Truck71541,1002689,C,37.3,6190,6233.36154295656,43.361542956560086
20319,Truck71558,1002689,C,37.3,6190,6243.392139861513,53.39213986151254
