,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration
1726,Truck68,1000212,A,8.4,867,884.6333780668651,17.633378066865127
1727,Truck144,1000046,A,9.3,867,883.0717282333547,16.071728233354783
1728,Truck70,1000216,C,1408.8,868,977.5936412400342,109.59364124003429
1729,Truck98,1000174,A,29.83,868,917.2742675189871,49.27426751898718
1730,Truck104,1000167,B,26.3,868,897.0917130007258,29.091713000725807
1731,Truck111,1000105,A,89.75,868,957.1309509775834,89.13095097758348
1732,Truck132,1000048,A,6.1,868,887.1972047788161,19.197204778816094
1733,Truck135,1000048,A,6.1,868,885.7134181981522,17.713418198152183
1734,Truck140,1000035,A,6.3,868,882.3217930044048,14.321793004404775
1735,Truck150,1000035,A,6.3,868,887.6841538149573,19.684153814957362
1736,Truck11,1000287,B,3.0,869,887.351069024927,18.35106902492705
1737,Truck17,1000318,C,23.1,869,894.6368424718294,25.636842471829418
1738,Truck88,1000174,A,29.83,869,917.5859100239869,48.58591002398686
1739,Truck90,1000186,A,9.1,869,887.7349406306606,18.73494063066066
1740,Truck129,1000055,A,27.5,869,896.2521912738237,27.252191273823698
1741,Truck133,1000051,A,27.5,869,917.4497975088852,48.449797508885254
1742,Truck152,1000035,A,6.3,869,885.1916796617763,16.191679661776334
1743,Truck15,1000248,C,6.5,870,888.7103867431505,18.710386743150533
1744,Truck22,1000248,C,6.5,870,884.9171324797757,14.917132479775658
1745,Truck30,1000235,C,16.5,870,891.686067568446,21.68606756844604
1746,Truck85,1000174,A,29.83,871,919.2008263681947,48.20082636819471
1747,Truck109,1000186,A,9.1,871,885.6146239745542,14.614623974554249
1748,Truck136,1000048,A,6.1,871,883.6947217538828,12.694721753882831
1749,Truck172,1000022,C,397.0,871,933.9573584837468,62.957358483746816
1750,Truck23,1000235,C,16.5,872,888.9398963557575,16.93989635575749
1751,Truck61,1000216,C,1408.8,872,955.3005026940912,83.30050269409122
1752,Truck64,1000216,C,1408.8,872,997.3338972954659,125.33389729546599
1753,Truck75,1000208,B,24.5,873,916.3013401205401,43.30134012054012
1754,Truck84,1000208,B,24.5,873,930.8910777942008,57.8910777942008
1755,Truck120,1000105,A,89.75,873,923.0652258873653,50.06522588736529
1756,Truck149,1000048,A,6.1,873,885.850542117589,12.850542117589036
1757,Truck77,1000216,C,1408.8,874,989.581834182226,115.58183418222603
1758,Truck100,1000186,A,9.1,874,887.0683923050169,13.068392305016907
1759,Truck110,1000105,A,89.75,874,961.1371742615014,87.13717426150139
1760,Truck121,1000105,A,89.75,874,931.2677082383289,57.26770823832882
1761,Truck9,1000275,B,28.9,875,926.6620028045847,51.66200280458475
1762,Truck74,1000216,C,1408.8,875,983.1958247961699,108.19582479616983
1763,Truck45,1000235,C,16.5,876,922.0987240365188,46.09872403651873
1764,Truck142,1000035,A,6.3,876,887.9463801708297,11.946380170829672
1765,Truck143,1000046,A,9.3,876,886.7314824890459,10.731482489045929
1766,Truck173,1000022,C,397.0,876,1017.1634585980247,141.1634585980247
1767,Truck13,1000236,C,16.5,877,920.1003778716458,43.10037787164578
1768,Truck76,1000208,B,24.5,877,910.9903612161072,33.990361216107175
1769,Truck107,1000140,A,5.6,877,895.2943526805508,18.294352680550823
1770,Truck125,1000105,A,89.75,877,926.0709209413526,49.07092094135263
1771,Truck137,1000051,A,27.5,877,910.6161167470657,33.61611674706573
1772,Truck139,1000051,A,27.5,877,921.2950770563342,44.29507705633423
1773,Truck141,1000046,A,9.3,877,894.4336770785173,17.433677078517377
1774,Truck2,1000318,C,23.1,878,901.3462682788406,23.346268278840604
1775,Truck20,1000248,C,6.5,878,890.7284280361545,12.728428036154522
1776,Truck32,1000248,C,6.5,878,894.6366318031929,16.63663180319291
1777,Truck73,1000212,A,8.4,878,889.9128231017074,11.912823101707449
1778,Truck79,1000208,B,24.5,878,905.1965568570032,27.19655685700319
1779,Truck91,1000167,B,26.3,878,902.8252317436861,24.825231743686082
1780,Truck131,1000051,A,27.5,878,897.6296349761411,19.629634976141123
1781,Truck39,1000224,C,23.1,880,908.2246333257366,28.224633325736537
1782,Truck92,1000186,A,9.1,880,898.2565725978344,18.256572597834392
1783,Truck101,1000140,A,5.6,880,899.7151330681296,19.715133068129646
1784,Truck124,1000105,A,89.75,880,960.0837742575764,80.08377425757635
1785,Truck27,1000248,C,6.5,881,894.3587141701477,13.358714170147719
1786,Truck63,1000224,C,23.1,881,896.6063233682798,15.606323368279792
1787,Truck86,1000208,B,24.5,881,917.8273562492834,36.82735624928344
1788,Truck174,1000022,C,397.0,881,963.597823270296,82.59782327029598
1789,Truck105,1000140,A,5.6,882,899.162447463182,17.162447463182076
1790,Truck52,1000224,C,23.1,883,940.6098035365997,57.60980353659964
1791,Truck108,1000174,A,29.83,883,898.2323333947561,15.232333394756118
1792,Truck3,1000287,B,3.0,884,895.9216584315367,11.921658431536663
1793,Truck136,1000051,A,27.5,884,913.6628397122258,29.662839712225825
1794,Truck140,1000046,A,9.3,884,903.1376749101213,19.137674910121245
1795,Truck144,1000048,A,6.1,884,897.4119399293586,13.411939929358647
1796,Truck40,1000235,C,16.5,885,933.8323760487472,48.832376048747136
1797,Truck82,1000174,A,29.83,886,944.4048461185066,58.404846118506576
1798,Truck135,1000051,A,27.5,886,943.4891135877936,57.48911358779359
1799,Truck149,1000051,A,27.5,886,908.5954339845277,22.595433984527688
1800,Truck175,1000022,C,397.0,886,1035.648828114071,149.64882811407108
1801,Truck35,1000248,C,6.5,887,899.4840521655575,12.484052165557532
1802,Truck38,1000235,C,16.5,887,943.8519728325028,56.85197283250287
1803,Truck66,1000212,A,8.4,887,901.5044411925595,14.504441192559565
1804,Truck68,1000216,C,1408.8,887,1040.5229913369094,153.52299133690929
1805,Truck122,1000105,A,89.75,887,954.8341275463957,67.83412754639578
1806,Truck143,1000048,A,6.1,887,897.5580346384507,10.558034638450705
1807,Truck152,1000046,A,9.3,887,905.0134015591183,18.013401559118265
1808,Truck12,1000275,B,28.9,888,932.0353698108887,44.03536981088875
1809,Truck28,1000236,C,16.5,888,935.1672771482154,47.16727714821535
1810,Truck34,1000236,C,16.5,888,914.0143928367606,26.01439283676059
1811,Truck44,1000236,C,16.5,888,913.6873385862567,25.687338586256764
1812,Truck103,1000167,B,26.3,888,926.823579990293,38.823579990293005
1813,Truck132,1000051,A,27.5,888,939.5880520408217,51.58805204082171
1814,Truck23,1000236,C,16.5,889,908.1879124913178,19.187912491317746
1815,Truck33,1000275,B,28.9,889,926.642548870398,37.642548870397974
1816,Truck46,1000275,B,28.9,889,934.8116457400836,45.811645740083605
1817,Truck109,1000208,B,24.5,889,912.5082931178897,23.508293117889682
